city_id,latitude,longitude,city,country
H3HVvBhv,-82.64029,27.767601,St. Petersburg FL,United States
nFelGmBh,-105.5911,41.311367,Laramie WY,United States
7kHiiSWo,-75.69719,45.421528,Ottawa,Canada
35k9WUjH,-75.74966,39.683723,Newark DE,United States
DFYIUBpn,-4.724532,41.652252,Valladolid,Spain
HN2s51Zp,4.4114137,52.199253,Katwijk aan Zee,Netherlands
2eiy9fyL,4.6203003,52.351063,Heemstede,Netherlands
I9fHaPJH,-69.93121,18.486057,Santo Domingo,Dominican Republic
vSuzzB0t,11.425755,48.766537,Ingolstadt,Germany
zx1OVn7R,-5.93012,54.597286,Belfast,United Kingdom
GHU5NkeS,16.777937,39.159122,Cotronei,Italy
jKelPaRC,80.27072,13.08268,Chennai,India
QKLFbVhA,153.02512,-27.46977,Brisbane,Australia
hY1URto8,-58.56346,-34.60948,Caseros,Argentina
VMAZrZ0W,46.306965,60.76796,Veliky Ustyug,Russia
WlHDjJbO,8.61168,44.907272,Alessandria,Italy
G6j44dza,-120.31035,47.42346,Wenatchee WA,United States
uNemeFxb,-95.992775,36.15398,Tulsa OK,United States
6eNglnfX,26.012861,44.936665,Ploiești,Romania
8xC9GZQD,14.505752,46.056946,Ljubljana,Slovenia
